PRODUCT_NUM,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
00979109,FOOD                      ,BAKERY                    ,NATIONAL,N
01027978,FOOD                      ,BAKERY                    ,NATIONAL,N
02952217,FOOD                      ,BAKERY                    ,NATIONAL,N
04335982,FOOD                      ,BAKERY                    ,NATIONAL,N
04793123,FOOD                      ,BAKERY                    ,NATIONAL,N
04829540,FOOD                      ,BAKERY                    ,NATIONAL,N
05101945,FOOD                      ,BAKERY                    ,NATIONAL,N
05114373,FOOD                      ,BAKERY                    ,NATIONAL,N
05128464,FOOD                      ,BAKERY                    ,NATIONAL,N
05171796,FOOD                      ,BAKERY                    ,NATIONAL,N
05340636,FOOD                      ,BAKERY                    ,NATIONAL,N
05340640,FOOD                      ,BAKERY                    ,NATIONAL,N
05340645,FOOD                      ,BAKERY                    ,NATIONAL,N
05422745,FOOD                      ,BAKERY                    ,NATIONAL,N
05826206,FOOD                      ,BAKERY                    ,NATIONAL,N
05991623,FOOD                      ,BAKERY                    ,NATIONAL,N
06238959,FOOD                      ,BAKERY                    ,NATIONAL,N
06376243,FOOD                      ,BAKERY                    ,NATIONAL,N
06609993,FOOD                      ,BAKERY                    ,NATIONAL,N
06683525,FOOD                      ,BAKERY                    ,NATIONAL,N
06776918,FOOD                      ,BAKERY                    ,NATIONAL,N
06778532,FOOD                      ,BAKERY                    ,NATIONAL,N
06801235,FOOD                      ,BAKERY                    ,NATIONAL,N
06825253,FOOD                      ,BAKERY                    ,NATIONAL,N
06924938,FOOD                      ,BAKERY                    ,NATIONAL,N
06928692,FOOD                      ,BAKERY                    ,NATIONAL,N
07020653,FOOD                      ,BAKERY                    ,NATIONAL,N
07112635,FOOD                      ,BAKERY                    ,NATIONAL,N
00101712,NON-FOOD                  ,FLORAL                    ,PRIVATE ,N
00101807,NON-FOOD                  ,FLORAL                    ,PRIVATE ,N
06594456,NON-FOOD                  ,FLORAL                    ,PRIVATE ,N
01307948,NON-FOOD                  ,FLORAL                    ,NATIONAL,N
05879247,NON-FOOD                  ,FLORAL                    ,NATIONAL,N
05895800,NON-FOOD                  ,FLORAL                    ,NATIONAL,N
06179037,NON-FOOD                  ,FLORAL                    ,NATIONAL,N
06812769,NON-FOOD                  ,FLORAL                    ,NATIONAL,N
06927469,NON-FOOD                  ,FLORAL                    ,NATIONAL,N
01150787,FOOD                      ,ALCOHOL                   ,PRIVATE ,N
04344141,FOOD                      ,ALCOHOL                   ,PRIVATE ,N
05536735,FOOD                      ,ALCOHOL                   ,PRIVATE ,N
00095261,FOOD                      ,ALCOHOL                   ,NATIONAL,N
00248944,FOOD                      ,ALCOHOL                   ,NATIONAL,N
00417209,FOOD                      ,ALCOHOL                   ,NATIONAL,N
00931071,FOOD                      ,ALCOHOL                   ,NATIONAL,N
00952725,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01128060,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01142318,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01150716,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01165701,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01178405,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01189844,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01189995,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01221043,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01222204,FOOD                      ,ALCOHOL                   ,NATIONAL,N
01230347,FOOD                      ,ALCOHOL                   ,NATIONAL,N
02201134,FOOD                      ,ALCOHOL                   ,NATIONAL,N
02221555,FOOD                      ,ALCOHOL                   ,NATIONAL,N
03297514,FOOD                      ,ALCOHOL                   ,NATIONAL,N
04194271,FOOD                      ,ALCOHOL                   ,NATIONAL,N
04331158,FOOD                      ,ALCOHOL                   ,NATIONAL,N
04840017,FOOD                      ,ALCOHOL                   ,NATIONAL,N
04959972,FOOD                      ,ALCOHOL                   ,NATIONAL,N
04960076,FOOD                      ,ALCOHOL                   ,NATIONAL,N
05071942,FOOD                      ,ALCOHOL                   ,NATIONAL,N
05354435,FOOD                      ,ALCOHOL                   ,NATIONAL,N
05466049,FOOD                      ,ALCOHOL                   ,NATIONAL,N
05522031,FOOD                      ,ALCOHOL                   ,NATIONAL,N
05606854,FOOD                      ,ALCOHOL                   ,NATIONAL,N
05625316,FOOD                      ,ALCOHOL                   ,NATIONAL,N
05723197,FOOD                      ,ALCOHOL                   ,NATIONAL,N
06096297,FOOD                      ,ALCOHOL                   ,NATIONAL,N
06339785,FOOD                      ,ALCOHOL                   ,NATIONAL,N
06412107,FOOD                      ,ALCOHOL                   ,NATIONAL,N
06479413,FOOD                      ,ALCOHOL                   ,NATIONAL,N
06639958,FOOD                      ,ALCOHOL                   ,NATIONAL,N
07061341,FOOD                      ,ALCOHOL                   ,NATIONAL,N
07078390,FOOD                      ,ALCOHOL                   ,NATIONAL,N
00566902,NON-FOOD                  ,HOLIDAY                   ,PRIVATE ,N
00571063,NON-FOOD                  ,HOLIDAY                   ,PRIVATE ,N
00572853,NON-FOOD                  ,HOLIDAY                   ,PRIVATE ,N
06815109,NON-FOOD                  ,HOLIDAY                   ,NATIONAL,N
